Marcas,Combustible,Año,Kms,Cv,Provincia,Precio
TOYOTA C-HR BERLINA CON PORTON 1.8 VVT-I HYB ADVANCE PACK PLUS AUTO,Híbrido,2019,94.000 km,122 cv,Murcia,21.000 €
LAND-ROVER Range Rover Sport 3.0 SDV6 HSE AUTO 4WD 5P,Diésel,2018,64.754 km,306 cv,Alicante,63.900 €
FIAT 500L 1.4 16v 70 kW (95 CV) S&S Connect,Gasolina,2021,18.300 km,95 cv,Sevilla,18.900 €
TOYOTA RAV-4 Rav4 2.5l 220H Advance,Híbrido,2019,59.711 km,217 cv,Málaga,32.900 €
SEAT Ateca 1.6TDI CR S&S Ecomotive Style,Diésel,2019,52.553 km,115 cv,Murcia,22.350 €
TOYOTA Corolla FEEL GO,Híbrido,2019,87.816 km,122 cv,Girona,18.895 €
MINI Mini Cabrio John Cooper Works Aut.,Gasolina,2023,3.890 km,231 cv,Barcelona,53.900 €
KIA Niro 1.6 GDI PLUG-IN HYBRID EMOTION 5P,Eléctrico,2018,77.370 km,141 cv,Valencia,21.500 €
PEUGEOT 508 Hybrid HYBRID 225CV ALLURE,Híbrido,2020,20.435 km,225 cv,Cuenca,29.900 €
SEAT Arona 1.0 TSI S&S Style XM 110,Gasolina,2023,2.896 km,110 cv,Tarragona,20.900 €
AUDI A3 Cabrio 1.6TDI S Line Edition 85kW,Diésel,2017,140.000 km,116 cv,Madrid,21.490 €
AUDI Q3 35 TDI Advanced S tronic 110kW,Diésel,2019,93.500 km,150 cv,Zaragoza,31.900 €
PORSCHE Cayenne E-Hybrid Aut.,Híbrido Enchufable,2019,125.000 km,462 cv,Alicante,88.000 €
CITROEN C5 Aircross BlueHDi S&S Feel Pack EAT8 130,Diésel,2023,10 km,130 cv,Zaragoza,30.900 €
PEUGEOT Rifter 1.5BlueHDi S&S Standard Allure 130,Diésel,2021,42.224 km,131 cv,Guipúzcoa,27.400 €
PEUGEOT 3008 1.6 BlueHDi Allure EAT6 120,Diésel,2018,53.411 km,120 cv,Guipúzcoa,26.900 €
CITROEN C3 Aircross Puretech S&S Shine 110,Gasolina,2021,20.500 km,110 cv,Málaga,19.490 €
VOLVO XC60 T6 Recharge Inscription Expression,Híbrido Enchufable,2022,26.698 km,350 cv,Madrid,51.900 €
CITROEN C5 Aircross BlueHDi S&S Shine 130,Diésel,2019,90.415 km,130 cv,Madrid,20.490 €
PORSCHE Macan GTS Aut.,Gasolina,2023,1.900 km,440 cv,Barcelona,135.900 €
OPEL Corsa 1.2 GS Line S/S 100cv 5p,Gasolina,2021,39.518 km,100 cv,Castellón,16.990 €
MERCEDES-BENZ Clase A 180 Compacto,Gasolina,2022,15.125 km,136 cv,Córdoba,35.400 €
