Marcas,Combustible,Año,Kms,Cv,Provincia,Precio
SEAT Arona 1.0 TSI S&S Style XM 110,Gasolina,2023,856 km,110 cv,Tarragona,19.900 €
FORD Puma NUEVO ST LINE X 1.0 EcoBoost mHEV 125cv S6.2,Híbrido,2023,10 km,125 cv,Vizcaya,31.900 €
OPEL Corsa 1.2T XHL S/S Elegance 100,Gasolina,2023,10 km,100 cv,Cantabria,18.990 €
SEAT Ibiza 1.0 TSI 85KW STYLE 5P,Gasolina,2020,77.483 km,115 cv,Alicante,15.350 €
PEUGEOT 2008 1.2 PureTech S&S Allure 100,Gasolina,2022,14.678 km,100 cv,Málaga,22.900 €
MINI Countryman Cooper D 110 kW (150 CV),Diésel,2022,9.745 km,150 cv,Córdoba,35.900 €
MITSUBISHI Outlander 220DI-D Motion 4WD,Diésel,2018,86.000 km,150 cv,Cuenca,26.900 €
FORD EcoSport 1.0 EcoBoost ST Line 125,Gasolina,2020,45.000 km,125 cv,Alicante,19.500 €
PEUGEOT 3008 1.2 PureTech S&S Allure 130,Gasolina,2019,47.849 km,130 cv,Guipúzcoa,21.900 €
LEXUS NX 300h Business Navigation 2WD,Híbrido,2020,24.610 km,197 cv,Madrid,37.990 €
SEAT Arona 1.0 TSI 81KW XCELLENCE DSG 5P,Gasolina,2021,46.149 km,110 cv,Alicante,22.900 €
NISSAN Qashqai 1.3 DIG-T mHEV 12V Acenta 4x2 103kW,Gasolina,2022,29.603 km,140 cv,Córdoba,24.500 €
AUDI A1 - Sportback Advanced 30 TFSI  81kW (110cv) S tronic 5p,Gasolina,2021,66.052 km,110 cv,Valencia,21.900 €
FERRARI 458 Speciale,Gasolina,2014,25.000 km,Madrid,409.000 €,
TOYOTA Corolla 1.8 125H ACTIVE TECH E-CVT,Híbrido,2019,66.665 km,122 cv,Málaga,19.500 €
CITROEN C3 Aircross BlueHDi S&S Shine 110,Diésel,2023,1 km,110 cv,Zaragoza,22.800 €
ALFA ROMEO Tonale 1.6 DS Sprint FWD,Diésel,2023,10 km,130 cv,Ávila,36.900 €
CITROEN C3 Aircross BlueHDi S&S Shine 100,Diésel,2020,24.087 km,100 cv,Madrid,18.300 €
TOYOTA Corolla 1.8 125H ACTIVE TECH E-CVT SEDAN,Híbrido,2019,70.209 km,122 cv,Madrid,20.990 €
KIA XCeed 1.0 T-GDi Drive,Gasolina,2022,18.000 km,120 cv,Málaga,21.700 €
LAND-ROVER Defender 110 SW E,Diésel,2012,80.000 km,122 cv,Madrid,52.900 €
MERCEDES-BENZ EQE 350+,Eléctrico,2022,7.500 km,292 cv,Barcelona,73.900 €
CUPRA Formentor 1.5 TSI 150 DSG,Gasolina,2022,12.557 km,150 cv,Córdoba,29.900 €
VOLKSWAGEN Passat 1.6TDI Advance 88kW,Diésel,2016,138.000 km,120 cv,Cuenca,16.900 €
MERCEDES-BENZ Clase C oupé 200,Gasolina,2019,19.536 km,184 cv,Barcelona,39.900 €
CITROEN C3 1.5BlueHDi S&S Feel Pack 100,Diésel,2021,48.123 km,100 cv,Madrid,14.900 €
FORD Kuga 1.5 EcoBlue ST-Line FWD 120,Diésel,2021,49.546 km,120 cv,Vizcaya,28.900 €
FORD Ka Ka+ 1.19 Ti-VCT Active,Gasolina,2018,67.511 km,85 cv,Vizcaya,11.500 €
KIA Ceed 1.0 T-GDi 74kW (100CV) Concept,Gasolina,2022,23.596 km,100 cv,Madrid,16.390 €
NISSAN Qashqai DIG-T 103kW N-Connecta,Híbrido,2022,13.986 km,140 cv,Madrid,29.490 €
NISSAN Qashqai DIG-T 103kW (140CV) mHEV 4x2 Acenta,Híbrido,2022,6.601 km,140 cv,Madrid,28.490 €
BMW X3 xDrive 20dA,Diésel,2018,82.000 km,190 cv,Cuenca,35.900 €
AUDI A1 Sportback 30 TFSI Black line S tronic,Gasolina,2021,11.216 km,110 cv,Barcelona,30.900 €
TOYOTA C-HR 125H Advance,Híbrido,2018,88.963 km,122 cv,Málaga,21.900 €
SEAT León ST 2.0TDI CR S&S FR DSG7 150,Diésel,2018,69.000 km,150 cv,Madrid,19.900 €
FORD Kuga 2.0TDCi Auto S&S ST-Line 4x2 150,Diésel,2018,103.000 km,150 cv,Cuenca,19.900 €
KIA Carens 1.6 GDi Concept,Gasolina,2013,172.786 km,135 cv,Zaragoza,13.400 €
TOYOTA RAV-4 Rav4 2.5l 220H Advance,Híbrido,2019,90.086 km,217 cv,Madrid,29.690 €
KIA Ceed Tourer 1.6 GDi PHEV 104kW (141CV) eTech,Híbrido,2022,12.500 km,141 cv,Tarragona,28.395 €
TOYOTA C-HR 125H Advance,Híbrido,2019,63.110 km,122 cv,Girona,21.950 €
SKODA Kamiq 1.0 TSI Style 81kW DSG,Gasolina,2023,5.000 km,110 cv,Pontevedra,23.400 €
TOYOTA Yaris 1.5 DUAL VVT-IE FEEL 5P,Gasolina,2020,72.003 km,111 cv,Murcia,15.350 €
AUDI A3 Sportback 30 TDI S line S tronic 85kW,Diésel,2019,23.924 km,116 cv,Barcelona,24.500 €
PORSCHE Panamera Turbo Aut.,Gasolina,2017,62.500 km,550 cv,Barcelona,99.900 €
JAGUAR XF 3.0TDV6 Chequered Flag Aut.,Diésel,2020,36.500 km,300 cv,Vizcaya,43.900 €
NISSAN Qashqai DIG-T 103kW (140CV) mHEV 4x2 Acenta,Híbrido,2022,11.365 km,140 cv,Madrid,28.490 €
NISSAN Qashqai DIG-T 103kW N-Connecta,Híbrido,2022,10.509 km,140 cv,Madrid,28.990 €
TOYOTA C-HR 1.8 125H Advance,Híbrido,2021,76.711 km,122 cv,La Coruña,24.850 €
BMW Serie 4 420dA Cabrio,Diésel,2015,261.000 km,184 cv,Cuenca,18.900 €
CITROEN C3 1.5BlueHDi S&S Shine 100,Diésel,2022,12.731 km,100 cv,Valencia,17.900 €
CITROEN C3 1.2 PureTech S&S Shine 110,Gasolina,2021,34.842 km,110 cv,La Coruña,18.990 €
OPEL Crossland X 1.2T S&S Innovation 130,Gasolina,2019,93.575 km,130 cv,La Coruña,17.990 €
KIA Stonic 1.2 DPi Drive,Gasolina,2022,13.689 km,84 cv,Madrid,17.990 €
OPEL Astra 1.6CDTi S/S Dynamic Aut. 136,Diésel,2019,126.000 km,136 cv,Cuenca,14.900 €
OPEL Mokka 1.2T S&S Business Elegance,Gasolina,2022,10 km,100 cv,Zaragoza,22.000 €
CITROEN C3 Aircross Puretech S&S Shine 110,Gasolina,2023,10 km,110 cv,Zaragoza,22.300 €
CITROEN C3 1.2 PureTech S&S Feel Pack 83,Gasolina,2021,21.576 km,83 cv,Zaragoza,17.200 €
RENAULT Mégane S.T. 1.5dCi Energy Business 81kW,Diésel,2020,62.831 km,110 cv,Barcelona,17.950 €
RENAULT Arkana Zen,Gasolina,2021,17.702 km,140 cv,Barcelona,30.650 €
CITROEN C4 Grand Spacetourer 1.5BlueHDI S&S Shine 130,Diésel,2018,140.097 km,130 cv,La Coruña,17.490 €
BMW Serie 3 318d Touring,Diésel,2016,149.958 km,150 cv,La Coruña,18.900 €
CUPRA Formentor 2.0 TDI 150,Diésel,2022,13.500 km,150 cv,Alicante,30.800 €
VOLKSWAGEN Golf 2.0TDI 85kW,Diésel,2022,32.500 km,115 cv,Alicante,23.000 €
MERCEDES-BENZ Clase A 250 e Compacto,Híbrido,2022,23.912 km,160 cv,Córdoba,40.000 €
RENAULT Twingo TCe Energy S&S Zen 66kW,Gasolina,2015,93.254 km,90 cv,Barcelona,9.350 €
RENAULT Clio TCe GPF Energy Zen 66kW,Gasolina,2021,53.396 km,90 cv,Barcelona,17.850 €
SEAT Ibiza 1.6TDI CR Style DPF,Diésel,2018,90.889 km,90 cv,Murcia,14.900 €
AUDI Q2 1.6TDI Sport edition S tronic 85kW,Diésel,2019,66.000 km,116 cv,Cuenca,26.900 €
FIAT 500 Dolcevita 1.0 Hybrid 51 KW (70 CV),Gasolina,2022,14.357 km,70 cv,Valencia,14.890 €
OPEL Mokka Mokka-e GS Line-e,Eléctrico,2022,3.110 km,136 cv,Cantabria,29.990 €
MERCEDES-BENZ Clase E 280 4M Avantgarde Aut.,Gasolina,2007,299.500 km,231 cv,Burgos,6.700 €
PORSCHE Cayenne E-Hybrid Aut.,Híbrido Enchufable,2020,40.440 km,462 cv,Málaga,119.200 €
MINI Countryman Cooper,Gasolina,2017,62.000 km,136 cv,Cuenca,18.900 €
MINI Countryman ALL4 Cooper S E,Híbrido,2019,65.550 km,224 cv,Málaga,27.500 €
HYUNDAI Tucson 1.6 TGDI Klass 4x2,Gasolina,2022,12.770 km,150 cv,La Coruña,29.900 €
SKODA Octavia Combi 1.6TDI CR Style,Diésel,2019,115.000 km,115 cv,Sevilla,17.900 €
JAGUAR F-Pace 2.0D l4 MHEV SE Aut. AWD 204,Diésel,2021,34.539 km,204 cv,Vizcaya,60.900 €
OPEL Corsa GSi,Gasolina,2019,60.000 km,150 cv,Barcelona,15.900 €
RENAULT Clio TCe Intens 74kW,Gasolina,2020,58.802 km,100 cv,Barcelona,15.900 €
PEUGEOT 308 Allure,Gasolina,2022,0 km,131 cv,Barcelona,28.900 €
AUDI Q3 Sportback 35 TDI Advanced S tronic,Diésel,2022,20.366 km,150 cv,Guipúzcoa,39.500 €
MERCEDES-BENZ Clase C 200 d,Diésel,2018,50.061 km,149 cv,La Coruña,31.900 €
TOYOTA Corolla 1.8 125H ACTIVE TECH E-CVT SEDAN,Híbrido,2022,46.414 km,122 cv,Madrid,22.990 €
PEUGEOT 2008 1.2 PureTech S&S Active Pack 100,Gasolina,2021,50.640 km,100 cv,Sevilla,19.900 €
BMW X3 xDrive 20d,Diésel,2011,179.500 km,184 cv,Burgos,15.900 €
DACIA Dokker 1.5dCi SL Trotamundos 66kW,Diésel,2018,53.543 km,90 cv,Barcelona,15.850 €
DACIA Sandero 0.9 TCE SL Nómada 66kW,Gasolina,2020,26.000 km,90 cv,Barcelona,13.850 €
FORD EcoSport 1.5TDCi Trend 95,Diésel,2016,54.000 km,95 cv,Cuenca,14.500 €
MERCEDES-BENZ Clase B 180d,Diésel,2018,77.742 km,109 cv,La Coruña,19.590 €
OPEL Astra 1.2T XHT 96kW (130CV)  Auto GS,Gasolina,2023,10 km,130 cv,Cantabria,28.490 €
VOLKSWAGEN Golf 1.5 TSI Evo Sport DSG7 110kW,Gasolina,2019,33.900 km,150 cv,Asturias,25.900 €
PEUGEOT 2008 ACTIVE PACK 1.2 PTECH 100,Gasolina,2021,60.496 km,100 cv,Islas Baleares,20.600 €
MERCEDES-BENZ Clase GLC Coupé 300e 4Matic,Híbrido Enchufable,2020,27.900 km,320 cv,Tarragona,59.900 €
MINI Mini Cooper SE,Eléctrico,2023,4.400 km,184 cv,Valencia,32.890 €
ALFA ROMEO Tonale 1.5 MHEV GASOLINA 160 CV  FWD Veloce,Gasolina,2022,8.764 km,160 cv,Madrid,38.900 €
PEUGEOT 308 1.2 PureTech S&S Allure 110,Gasolina,2020,31.388 km,110 cv,Málaga,17.695 €
CITROEN C3 1.5BlueHDi S&S Feel Pack 100,Diésel,2021,45.585 km,100 cv,Madrid,14.900 €
PEUGEOT 308 1.5BlueHDi S&S Allure Pack 130,Diésel,2022,19.894 km,130 cv,Málaga,25.490 €
AUDI Q5 Sportback 35 TDI Advanced S tronic,Diésel,2022,16.922 km,163 cv,Córdoba,50.200 €
MINI Countryman Cooper S E ALL4,Híbrido Enchufable,2019,10.500 km,224 cv,Badajoz,33.900 €
TOYOTA Yaris 1.5 120H Active Tech,Híbrido,2021,33.204 km,115 cv,Madrid,18.490 €
JEEP Compass 1.3 PHEV Limited EAWD Aut. 190,Híbrido Enchufable,2023,10 km,190 cv,Ávila,41.490 €
RENAULT Captur 1.5dCi Energy eco2 Zen 66kW,Diésel,2018,68.930 km,90 cv,Barcelona,16.250 €
BMW Serie 2 225xe iPerformance Active Tourer,Híbrido Enchufable,2019,77.246 km,224 cv,Vizcaya,23.500 €
PEUGEOT 208 1.2 Puretech S&S Allure Pack 100,Gasolina,2022,7.564 km,100 cv,Málaga,20.590 €
OPEL Crossland 1.2 81kW (110CV) Edition,Gasolina,2022,16.705 km,110 cv,Sevilla,18.900 €
AUDI Q5 Sportback 40 TDI quattro-ultra S line S tronic 150kW,Diésel,2023,14.405 km,204 cv,Córdoba,59.000 €
SEAT Ateca 1.6TDI CR S&S Ecomotive Style DSG,Diésel,2020,103.600 km,115 cv,La Coruña,23.900 €
SUZUKI Vitara 1.4 T GLE Mild Hybrid,Híbrido,2023,2.100 km,129 cv,La Coruña,24.999 €
MERCEDES-BENZ Clase GLA 180d,Diésel,2017,98.000 km,109 cv,La Coruña,26.900 €
TOYOTA Corolla 1.8 125H ACTIVE TECH E-CVT TOU SPORT,Híbrido,2019,106.685 km,122 cv,Madrid,18.190 €
KIA Stonic 1.2 DPi Drive,Gasolina,2022,10.094 km,84 cv,Madrid,16.990 €
NISSAN Micra IG-T 68 kW (92 CV) E6D-F Tekna,Gasolina,2022,15.000 km,92 cv,Madrid,16.290 €
KIA Picanto 1.0 CVVTEco-Dynamics Concept,Gasolina,2021,63.528 km,67 cv,Madrid,9.990 €
KIA Stonic 1.2 DPi Drive,Gasolina,2022,24.281 km,84 cv,Madrid,16.490 €
RENAULT Clio TCe Energy GLP Business 66kW,Gas,2020,31.921 km,90 cv,Barcelona,17.750 €
CITROEN C3 Aircross BlueHDi S&S Shine 100,Diésel,2019,78.107 km,100 cv,Girona,17.500 €
AUDI A3 - SB Advanced 30 TDI 85kW (116CV) 6v,Diésel,2021,28.239 km,116 cv,Valencia,25.000 €
TOYOTA Corolla 125H Active,Híbrido,2019,90.800 km,122 cv,Málaga,19.500 €
TOYOTA Corolla 1.8 125H ACTIVE TECH E-CVT SEDAN,Híbrido,2022,44.986 km,122 cv,Madrid,22.990 €
TOYOTA Yaris 1.5 120H Active Tech,Híbrido,2021,29.202 km,115 cv,Madrid,18.490 €
TOYOTA Corolla 1.8 125H ACTIVE TECH E-CVT SEDAN,Híbrido,2022,43.213 km,122 cv,Madrid,22.990 €
PEUGEOT 2008 1.2 PureTech S&S Allure EAT8 130,Gasolina,2020,20.297 km,130 cv,Castellón,24.500 €
NISSAN Qashqai DIG-T 103kW N-Connecta,Híbrido,2022,4.686 km,140 cv,Madrid,28.990 €
PEUGEOT 5008 - 1.2 PureTech S&S Allure 130,Gasolina,2021,31.372 km,130 cv,Valencia,27.900 €
HONDA CR-V 2.2i-DTEC Luxury Aut. 4x4,Diésel,2013,135.000 km,150 cv,Girona,16.900 €
ALFA ROMEO Tonale 1.5 MHEV 96KW 130CV EDICION SPECIALE,Híbrido,2022,150 km,130 cv,Álava,39.900 €
OPEL Corsa 1.2T XHL S/S Elegance 100,Gasolina,2021,23.561 km,100 cv,Zaragoza,16.500 €
OPEL Mokka 1.2 T 96kW (130 CV) GS Line,Gasolina,2022,18.000 km,130 cv,Zaragoza,22.500 €
OPEL Combo Life 1.5TD S/S Edition Plus L 100,Diésel,2021,34.213 km,100 cv,Málaga,22.500 €
PEUGEOT 2008 1.5 BlueHDI S&S Allure EAT6 120,Diésel,2019,20.000 km,120 cv,Málaga,18.900 €
PEUGEOT 2008 1.2 PureTech S&S Allure 100,Gasolina,2023,10 km,100 cv,Castellón,24.900 €
PEUGEOT 5008 2.0L BlueHDi 133kW (180CV) S&S EAT8 GT,Diésel,2020,51.831 km,180 cv,Castellón,35.500 €
AUDI A3 Sedán 30 TFSI Advanced,Gasolina,2023,15.000 km,110 cv,Salamanca,28.900 €
CITROEN C4 1.5 BlueHDI S&S Shine EAT8 130,Diésel,2021,54.813 km,130 cv,Málaga,22.890 €
SEAT León 1.4 TSI 122cv St&Sp FR,Gasolina,2013,180.130 km,122 cv,La Coruña,13.900 €
PEUGEOT 3008 1.2 PureTech S&S Allure 130,Gasolina,2022,8.233 km,130 cv,Cantabria,27.990 €
KIA Picanto 1.0 CVVT 49kW (67CV) Concept,Gasolina,2020,17.000 km,67 cv,Tarragona,11.690 €
PEUGEOT 2008 1.2 PureTech Style 82,Gasolina,2018,45.053 km,82 cv,Castellón,14.900 €
PEUGEOT 208 1.6BlueHDi Allure 100,Diésel,2020,21.849 km,100 cv,Castellón,19.000 €
RENAULT Captur TCe Zen 67kW,Gasolina,2022,4.954 km,90 cv,Barcelona,21.482 €
BMW Serie 2 220iA Cabrio,Gasolina,2019,22.550 km,184 cv,Córdoba,31.900 €
OPEL Insignia 2.0CDTI S&S Excellence Aut. 170,Diésel,2018,115.000 km,170 cv,Cuenca,18.900 €
JAGUAR E-Pace 2.0D I4 S AWD Aut. 150,Diésel,2019,31.986 km,150 cv,Castellón,34.900 €
NISSAN Juke DIG-T 84 kW (114 CV) 6M/T Acenta,Gasolina,2021,17.900 km,114 cv,Lugo,20.900 €
PEUGEOT 208 Active Pack Eléctrico 100kW,Eléctrico,2022,14.921 km,136 cv,Málaga,29.390 €
NISSAN Juke DIG-T 86 kW (117 CV) 6 M/T N-CONNECTA,Gasolina,2020,34.592 km,116 cv,Granada,19.400 €
BMW Serie 4 M440dA Coupé xDrive,Diésel,2021,26.500 km,340 cv,Salamanca,72.990 €
OPEL Crossland 1.2 81kW (110CV) GS Line,Gasolina,2022,16.626 km,110 cv,Málaga,19.300 €
PEUGEOT 3008 1.5 BlueHDi 96kW (130CV) S&S Allure,Diésel,2022,13.956 km,130 cv,Granada,28.990 €
FORD Kuga 1.5 EcoB. Auto S&S ST-Line Limited Edition 4x2 150,Gasolina,2019,40.835 km,150 cv,Madrid,20.390 €
LAND-ROVER Discovery Sport 2.0TD4 HSE 4x4 150,Diésel,2019,112.616 km,150 cv,Sevilla,27.900 €
VOLVO XC40 D3 Momentum Aut.,Diésel,2019,47.992 km,150 cv,Barcelona,32.900 €
SEAT Ibiza 1.0 TSI S&S Style 115,Gasolina,2021,41.000 km,115 cv,Cuenca,16.900 €
NISSAN Qashqai 1.3 DIG-T mHEV 12V Tekna + 4x2 116kW,Gasolina,2022,1 km,158 cv,Alicante,37.850 €
OPEL Astra 1.6T Hybrid 132kW (180CV)  Auto GS,Híbrido,2022,3.000 km,181 cv,Cantabria,34.490 €
LEXUS UX 250h Business Navigation 2WD,Híbrido,2019,70.580 km,184 cv,Madrid,26.995 €
PEUGEOT 2008 1.2 PureTech S&S Allure 100,Gasolina,2020,34.246 km,100 cv,Castellón,21.900 €
NISSAN Leaf 40kWh N-Connecta,Eléctrico,2022,19.680 km,149 cv,Madrid,25.890 €
MINI Mini Cooper SE,Eléctrico,2021,12.004 km,184 cv,Islas Baleares,36.900 €
FORD C-Max 1.5TDCi Trend+ 120,Diésel,2018,134.000 km,120 cv,Cuenca,13.900 €
FORD Kuga 2.0TDCi Auto S&S ST-Line 4x2 150,Diésel,2018,110.000 km,150 cv,Cuenca,20.900 €
NISSAN Qashqai 1.5dCi Visia 4x2,Diésel,2017,35.000 km,110 cv,Cuenca,20.900 €
PEUGEOT 2008 1.2 PureTech S&S Allure EAT8 130,Gasolina,2020,31.558 km,130 cv,Madrid,23.995 €
FORD Fiesta 1.0 EcoBoost MHEV ST Line 125,Gasolina,2022,21.333 km,125 cv,Vizcaya,19.900 €
VOLKSWAGEN Golf 2.0TDI GTD DSG7 135kW(4.75),Diésel,2018,56.000 km,184 cv,Salamanca,27.900 €
JEEP Compass 1.3 Gse T4 96kW (130CV)  MT FWD Limited,Gasolina,2021,14.811 km,130 cv,Castellón,30.900 €
PEUGEOT 3008 BlueHDI 130 S&S Active 96 kW (130 CV),Diésel,2018,62.000 km,130 cv,Alicante,20.000 €
TOYOTA Yaris 1.5 120H Active Tech,Híbrido,2021,25.472 km,115 cv,Madrid,18.490 €
PEUGEOT 2008 1.2 PureTech S&S Allure 100,Gasolina,2020,52.332 km,100 cv,Málaga,20.900 €
NISSAN Qashqai DIG-T 103kW N-Connecta,Híbrido,2022,8.105 km,140 cv,Madrid,29.490 €
KIA Niro 1.6 GDi PHEV 104kW (141CV) Concept Plus,Eléctrico,2022,15.413 km,141 cv,Madrid,26.990 €
VOLKSWAGEN Passat Variant 2.0TDI CR Advance 4Motion,Diésel,2008,192.000 km,140 cv,Cuenca,7.500 €
BMW X2 sDrive 18dA Business,Diésel,2022,11.200 km,150 cv,Córdoba,44.500 €
CITROEN C4 Spacetourer 1.5 130CV FEEL SPACETOURER BLUEHDI,Diésel,2019,84.000 km,130 cv,Cuenca,18.900 €
NISSAN Qashqai dCi 81 kW (110 CV) ACENTA,Diésel,2018,71.900 km,110 cv,Lugo,17.900 €
CITROEN C3 Aircross BlueHDi S&S Shine 110,Diésel,2022,6.686 km,110 cv,Málaga,20.090 €
"VOLVO XC90 NUEVO R-DESIGN, B5 AWD MILD HYBRID 7 PLAZAS (DIeSEL), SI",Diésel,2021,36.411 km,235 cv,Valencia,73.900 €
JEEP Compass Compa 2 eHybrid 1.5 MHEV 96kW  Dct S,Gasolina,2023,1 km,130 cv,Valencia,37.500 €
PEUGEOT 2008 1.2 PureTech S&S Allure Pack 100,Gasolina,2021,14.345 km,100 cv,Castellón,22.900 €
LEXUS RX 500H F SPORT,Híbrido,2023,15.815 km,371 cv,Girona,94.500 €
CITROEN C5 Aircross 225 e-EAT8 Feel Pack,Híbrido,2022,7.945 km,225 cv,Madrid,37.300 €
FIAT 500 Hb 320km 85kW (118CV) laPrima,Eléctrico,2022,5.999 km,118 cv,Madrid,26.500 €
TOYOTA C-HR BERLINA CON PORTON 1.8 VVT-I HYBRID ADVANCE AUTO 122 5P,Híbrido,2022,19.971 km,122 cv,Murcia,26.300 €
RENAULT Kadjar 1.5dCi Energy Zen EDC 81kW,Diésel,2016,89.000 km,110 cv,Huesca,16.900 €
AUDI Q7 Design 45 TDI 170kW (232CV) quat. tript.,Híbrido,2019,73.447 km,231 cv,Madrid,46.390 €
PORSCHE Boxster PDK,Gasolina,2020,9.099 km,300 cv,Barcelona,77.900 €
CUPRA Born Launch Edition 150kW 62kwh,Eléctrico,2022,9.300 km,204 cv,Castellón,34.950 €
FORD Puma 1.0 EcoBoost MHEV ST-Line X 125,Gasolina,2023,50 km,125 cv,Vizcaya,30.900 €
FORD Kuga 1.5 EcoBoost Titanium FWD 120,Gasolina,2021,60.886 km,120 cv,Valencia,21.900 €
JEEP Compass Compa 2 1.6 Mjet 88kW  4x2 S,Diésel,2022,17.950 km,120 cv,Valencia,33.900 €
PEUGEOT 2008 1.2 PureTech S&S GT 130,Gasolina,2021,41.500 km,130 cv,Granada,23.590 €
FORD Focus Sportbreak 1.0 Ecoboost MHEV ST-Line 155,Gasolina,2021,17.900 km,155 cv,Alicante,24.900 €
PEUGEOT 308 1.6 BlueHDi Style 100,Diésel,2019,73.990 km,100 cv,Castellón,16.900 €
SEAT León 2.0TDI CR S&S FR 150,Diésel,2015,229.500 km,150 cv,Burgos,11.900 €
PEUGEOT 3008 300 e-EAT8 GT Line,Híbrido,2020,29.194 km,300 cv,Madrid,31.490 €
BMW Serie 3 320dA Touring,Diésel,2021,34.121 km,190 cv,Córdoba,46.900 €
SEAT Ateca Style,Gasolina,2017,97.000 km,150 cv,Barcelona,18.900 €
PEUGEOT Rifter 1.5BlueHDi S&S Standard Allure 100,Diésel,2019,97.728 km,100 cv,Lugo,22.900 €
PEUGEOT 3008 1.2 PureTech 96KW S&S  EAT8 Allure Pack,Gasolina,2023,10 km,130 cv,Almería,30.990 €
PEUGEOT 2008 1.2 PureTech S&S Allure 100,Gasolina,2022,21.227 km,100 cv,Almería,21.490 €
CITROEN C3 Aircross Puretech S&S Feel Pack EAT6 130,Gasolina,2021,30.728 km,130 cv,Zaragoza,22.700 €
TOYOTA Corolla 2.0 180H FEEL! E-CVT,Híbrido,2019,121.144 km,179 cv,Madrid,19.990 €
TOYOTA Corolla Sedán 125H Active Tech,Híbrido,2022,14.339 km,122 cv,Cádiz,27.900 €
AUDI A1 Sportback 30 TFSI S line,Gasolina,2019,98.974 km,116 cv,La Coruña,21.900 €
RENAULT Mégane Energy TCe 97kW (130CV) Zen,Gasolina,2017,59.887 km,130 cv,Zaragoza,17.900 €
FORD EcoSport 1.0 EcoBoost Active 125,Gasolina,2022,10 km,125 cv,Vizcaya,24.700 €
OPEL Mokka BEV 50kWh Edition Edition-e,Eléctrico,2022,7.677 km,136 cv,Madrid,26.900 €
PEUGEOT 408 PHEV 225 e-EAT8 GT,Híbrido,2023,9.901 km,224 cv,Madrid,42.490 €
LAND-ROVER Range Rover Evoque 2.0D I4 MHEV SE AWD Aut. 163,Diésel,2022,804 km,163 cv,Castellón,52.900 €
SEAT León 1.4 TSI ACT S&S FR 150,Gasolina,2020,22.098 km,150 cv,Cuenca,24.900 €
CUPRA Formentor 2.5 TSI 390 VZ5 DSG 4Drive,Gasolina,2022,13.000 km,390 cv,Castellón,63.000 €
CITROEN C4 X 1.2 PureTech Shine S&S EAT8 130,Gasolina,2023,200 km,130 cv,Madrid,28.500 €
SKODA Karoq 1.0 TSI Ambition DSG,Gasolina,2019,128.383 km,115 cv,La Coruña,22.900 €
AUDI Q2 S LINE 30 TDI  85(116) KW(CV) S TRONIC,Diésel,2021,50.250 km,116 cv,Murcia,29.000 €
FIAT 500X 1.6Mjt Pop Star 4x2 88kW,Diésel,2017,100.646 km,120 cv,Jaén,14.200 €
AUDI Q3 35 TFSI Advanced,Gasolina,2020,60.100 km,150 cv,Cádiz,28.500 €
TOYOTA Yaris 1.5 DUAL VVT-IE FEEL 5P,Gasolina,2020,67.823 km,111 cv,Murcia,15.350 €
FIAT 500 1.0 Hybrid Dolcevita 52kW,Gasolina,2021,35.005 km,70 cv,Castellón,15.500 €
RENAULT Austral 1.3 TCe Mild Hybrid Techno Esprit Alpine CVT 116kW,Gasolina,2022,17.696 km,160 cv,Barcelona,36.070 €
FIAT 500 1.0 Hybrid Club 52kW,Gasolina,2023,5 km,70 cv,Madrid,15.900 €
RENAULT Arkana 1.6 E-Tech Engineered Fast Track 105kW,Híbrido,2023,11 km,145 cv,Madrid,34.450 €
SEAT Ateca 1.5 EcoTSI S&S FR XS,Gasolina,2023,1 km,150 cv,Córdoba,32.900 €
CITROEN C3 Aircross Puretech S&S C-Series 110,Gasolina,2023,10 km,110 cv,Zaragoza,21.900 €
CITROEN C5 Aircross BlueHDi S&S Shine 130,Diésel,2020,69.082 km,130 cv,Zaragoza,26.900 €
PEUGEOT 2008 1.2 PureTech S&S Allure 100,Gasolina,2023,2 km,100 cv,Madrid,23.419 €
PEUGEOT 308 1.5 BlueHDi S&S Allure Pack 130,Diésel,2022,24.284 km,130 cv,Granada,26.400 €
PEUGEOT 2008 1.5BlueHDi S&S Active Pack EAT8 130,Diésel,2023,2 km,130 cv,Granada,26.900 €
MERCEDES-BENZ Clase M ML 320CDI Aut.,Diésel,2008,233.300 km,224 cv,Albacete,13.900 €
CITROEN C4 Grand Spacetourer 1.5BlueHDI S&S C-Series 130,Diésel,2022,24.752 km,130 cv,Madrid,25.490 €
CITROEN C3 Aircross BlueHDi Shine 100,Diésel,2018,112.654 km,99 cv,Madrid,13.490 €
RENAULT Clio TCe eco2 SL Technofeel,Gasolina,2014,83.173 km,90 cv,Madrid,11.450 €
JEEP Compass 1.4 Multiair Limited 4x2 103kW,Gasolina,2019,59.000 km,140 cv,Madrid,23.990 €
HYUNDAI Tucson TODOTERRENO 1.6 TGDI PHEV 195KW STYLE AUTO 4WD 265 5P.,Eléctrico,2021,21.219 km,265 cv,Murcia,44.500 €
FIAT Tipo 1.5 Hybrid City Life DCT,Gasolina,2022,10.900 km,130 cv,Valencia,20.900 €
VOLKSWAGEN Golf (+) 1.0 TSI 85KW READY2GO 5P,Gasolina,2019,66.475 km,115 cv,Alicante,18.350 €
OPEL Crossland 1.2 81kW (110CV) GS Line,Gasolina,2022,17.134 km,110 cv,Málaga,19.290 €
